father,mother,midparentHeight,children,parents_product,parents_average,father_midparent_interaction,children_father_interaction,childHeight
75.5,66.5,73.66,4.0,5020.75,71.0,5561.33,302.0,
75.5,66.5,73.66,4.0,5020.75,71.0,5561.33,302.0,
75.5,66.5,73.66,4.0,5020.75,71.0,5561.33,302.0,
75.5,66.5,73.66,4.0,5020.75,71.0,5561.33,302.0,
75.0,64.0,72.06,2.0,4800.0,69.5,5404.5,150.0,73.5
75.0,64.0,72.06,2.0,4800.0,69.5,5404.5,150.0,72.5
75.0,64.0,72.06,5.0,4800.0,69.5,5404.5,375.0,65.5
75.0,64.0,72.06,5.0,4800.0,69.5,5404.5,375.0,65.5
75.0,64.0,72.06,5.0,4800.0,69.5,5404.5,375.0,71.0
75.0,64.0,72.06,5.0,4800.0,69.5,5404.5,375.0,68.0
75.0,64.0,72.06,5.0,4800.0,69.5,5404.5,375.0,70.5
74.0,66.5,72.91,3.0,4921.0,70.25,5395.34,222.0,68.5
74.0,66.5,72.91,3.0,4921.0,70.25,5395.34,222.0,67.0
74.0,66.5,72.91,3.0,4921.0,70.25,5395.34,222.0,64.5
74.5,66.0,72.89,1.0,4917.0,70.25,5430.305,74.5,63.0
74.0,65.5,72.37,1.0,4847.0,69.75,5355.38,74.0,
74.0,62.0,70.48,8.0,4588.0,68.0,5215.52,592.0,
74.0,62.0,70.48,8.0,4588.0,68.0,5215.52,592.0,
74.0,62.0,70.48,8.0,4588.0,68.0,5215.52,592.0,
74.0,62.0,70.48,8.0,4588.0,68.0,5215.52,592.0,
74.0,62.0,70.48,8.0,4588.0,68.0,5215.52,592.0,
74.0,62.0,70.48,8.0,4588.0,68.0,5215.52,592.0,
74.0,62.0,70.48,8.0,4588.0,68.0,5215.52,592.0,
74.0,62.0,70.48,8.0,4588.0,68.0,5215.52,592.0,
74.0,61.0,69.94,1.0,4514.0,67.5,5175.5599999999995,74.0,
73.0,67.0,72.68,2.0,4891.0,70.0,5305.64,146.0,
73.0,67.0,72.68,2.0,4891.0,70.0,5305.64,146.0,
73.0,67.0,72.68,2.0,4891.0,70.0,5305.64,146.0,
73.0,67.0,72.68,2.0,4891.0,70.0,5305.64,146.0,70.5
73.0,66.5,72.41,3.0,4854.5,69.75,5285.929999999999,219.0,68.0
73.0,66.5,72.41,3.0,4854.5,69.75,5285.929999999999,219.0,66.0
73.0,66.5,72.41,3.0,4854.5,69.75,5285.929999999999,219.0,66.0
73.0,65.0,71.6,9.0,4745.0,69.0,5226.799999999999,657.0,65.5
73.0,65.0,71.6,9.0,4745.0,69.0,5226.799999999999,657.0,74.0
73.0,65.0,71.6,9.0,4745.0,69.0,5226.799999999999,657.0,70.0
73.0,65.0,71.6,9.0,4745.0,69.0,5226.799999999999,657.0,68.0
73.0,65.0,71.6,9.0,4745.0,69.0,5226.799999999999,657.0,67.0
73.0,65.0,71.6,9.0,4745.0,69.0,5226.799999999999,657.0,67.0
73.0,65.0,71.6,9.0,4745.0,69.0,5226.799999999999,657.0,66.0
73.0,65.0,71.6,9.0,4745.0,69.0,5226.799999999999,657.0,63.5
73.0,65.0,71.6,9.0,4745.0,69.0,5226.799999999999,657.0,63.0
73.0,64.5,71.33000000000001,6.0,4708.5,68.75,5207.090000000001,438.0,65.0
73.0,64.5,71.33000000000001,6.0,4708.5,68.75,5207.090000000001,438.0,71.0
73.0,64.5,71.33000000000001,6.0,4708.5,68.75,5207.090000000001,438.0,62.0
73.0,64.5,71.33000000000001,6.0,4708.5,68.75,5207.090000000001,438.0,68.0
73.0,64.5,71.33000000000001,6.0,4708.5,68.75,5207.090000000001,438.0,67.0
73.0,64.5,71.33000000000001,6.0,4708.5,68.75,5207.090000000001,438.0,71.0
73.0,64.0,71.06,3.0,4672.0,68.5,5187.38,219.0,70.5
73.0,64.0,71.06,3.0,4672.0,68.5,5187.38,219.0,66.7
73.0,64.0,71.06,3.0,4672.0,68.5,5187.38,219.0,72.0
73.2,63.0,70.62,1.0,4611.6,68.1,5169.384000000001,73.2,70.5
72.0,68.0,72.72,3.0,4896.0,70.0,5235.84,216.0,70.2
72.0,68.0,72.72,3.0,4896.0,70.0,5235.84,216.0,70.2
72.0,68.0,72.72,3.0,4896.0,70.0,5235.84,216.0,69.2
72.0,67.0,72.18,3.0,4824.0,69.5,5196.960000000001,216.0,68.7
72.0,67.0,72.18,3.0,4824.0,69.5,5196.960000000001,216.0,66.5
72.0,67.0,72.18,3.0,4824.0,69.5,5196.960000000001,216.0,64.5
72.0,65.0,71.1,7.0,4680.0,68.5,5119.2,504.0,63.5
72.0,65.0,71.1,7.0,4680.0,68.5,5119.2,504.0,74.0
72.0,65.0,71.1,7.0,4680.0,68.5,5119.2,504.0,73.0
72.0,65.0,71.1,7.0,4680.0,68.5,5119.2,504.0,71.5
72.0,65.0,71.1,7.0,4680.0,68.5,5119.2,504.0,62.5
72.0,65.0,71.1,7.0,4680.0,68.5,5119.2,504.0,66.5
72.0,65.0,71.1,7.0,4680.0,68.5,5119.2,504.0,62.3
72.0,65.5,71.37,1.0,4716.0,68.75,5138.64,72.0,66.0
72.0,64.0,70.56,2.0,4608.0,68.0,5080.32,144.0,64.5
72.0,64.0,70.56,2.0,4608.0,68.0,5080.32,144.0,64.0
72.0,63.0,70.02000000000001,5.0,4536.0,67.5,5041.4400000000005,360.0,62.7
72.0,63.0,70.02000000000001,5.0,4536.0,67.5,5041.4400000000005,360.0,
72.0,63.0,70.02000000000001,5.0,4536.0,67.5,5041.4400000000005,360.0,
72.0,63.0,70.02000000000001,5.0,4536.0,67.5,5041.4400000000005,360.0,
72.0,63.0,70.02000000000001,5.0,4536.0,67.5,5041.4400000000005,360.0,
72.0,63.0,70.02000000000001,3.0,4536.0,67.5,5041.4400000000005,216.0,
72.0,63.0,70.02000000000001,3.0,4536.0,67.5,5041.4400000000005,216.0,
72.0,63.0,70.02000000000001,3.0,4536.0,67.5,5041.4400000000005,216.0,
72.0,63.0,70.02000000000001,6.0,4536.0,67.5,5041.4400000000005,432.0,
72.0,63.0,70.02000000000001,6.0,4536.0,67.5,5041.4400000000005,432.0,73.0
72.0,63.0,70.02000000000001,6.0,4536.0,67.5,5041.4400000000005,432.0,68.5
72.0,63.0,70.02000000000001,6.0,4536.0,67.5,5041.4400000000005,432.0,68.0
72.0,63.0,70.02000000000001,6.0,4536.0,67.5,5041.4400000000005,432.0,73.0
72.0,63.0,70.02000000000001,6.0,4536.0,67.5,5041.4400000000005,432.0,71.0
72.5,63.5,70.53999999999999,3.0,4603.75,68.0,5114.15,217.5,67.0
72.5,63.5,70.53999999999999,3.0,4603.75,68.0,5114.15,217.5,74.2
72.5,63.5,70.53999999999999,3.0,4603.75,68.0,5114.15,217.5,70.5
72.0,62.0,69.48,1.0,4464.0,67.0,5002.56,72.0,69.5
72.5,62.0,69.73,6.0,4495.0,67.25,5055.425,435.0,66.0
72.5,62.0,69.73,6.0,4495.0,67.25,5055.425,435.0,65.5
72.5,62.0,69.73,6.0,4495.0,67.25,5055.425,435.0,65.0
72.5,62.0,69.73,6.0,4495.0,67.25,5055.425,435.0,65.0
72.5,62.0,69.73,6.0,4495.0,67.25,5055.425,435.0,65.5
72.5,62.0,69.73,6.0,4495.0,67.25,5055.425,435.0,66.0
72.0,62.0,69.48,5.0,4464.0,67.0,5002.56,360.0,63.0
72.0,62.0,69.48,5.0,4464.0,67.0,5002.56,360.0,70.5
72.0,62.0,69.48,5.0,4464.0,67.0,5002.56,360.0,70.5
72.0,62.0,69.48,5.0,4464.0,67.0,5002.56,360.0,69.0
72.0,62.0,69.48,5.0,4464.0,67.0,5002.56,360.0,65.0
72.0,62.0,69.48,5.0,4464.0,67.0,5002.56,360.0,63.0
72.0,62.0,69.48,5.0,4464.0,67.0,5002.56,360.0,69.0
72.0,62.0,69.48,5.0,4464.0,67.0,5002.56,360.0,67.0
72.0,62.0,69.48,5.0,4464.0,67.0,5002.56,360.0,63.0
72.0,62.0,69.48,5.0,4464.0,67.0,5002.56,360.0,73.0
72.0,61.0,68.94,1.0,4392.0,66.5,4963.68,72.0,67.0
71.0,69.0,72.76,5.0,4899.0,70.0,5165.96,355.0,70.5
71.0,69.0,72.76,5.0,4899.0,70.0,5165.96,355.0,70.0
71.0,69.0,72.76,5.0,4899.0,70.0,5165.96,355.0,66.5
71.0,69.0,72.76,5.0,4899.0,70.0,5165.96,355.0,63.0
71.0,69.0,72.76,5.0,4899.0,70.0,5165.96,355.0,67.5
71.0,67.0,71.68,4.0,4757.0,69.0,5089.280000000001,284.0,67.2
71.0,67.0,71.68,4.0,4757.0,69.0,5089.280000000001,284.0,66.7
71.0,67.0,71.68,4.0,4757.0,69.0,5089.280000000001,284.0,64.0
71.0,67.0,71.68,4.0,4757.0,69.0,5089.280000000001,284.0,71.0
71.0,66.0,71.14,4.0,4686.0,68.5,5050.94,284.0,70.0
71.0,66.0,71.14,4.0,4686.0,68.5,5050.94,284.0,70.0
71.0,66.0,71.14,4.0,4686.0,68.5,5050.94,284.0,66.0
71.0,66.0,71.14,4.0,4686.0,68.5,5050.94,284.0,65.0
71.0,66.0,71.14,6.0,4686.0,68.5,5050.94,426.0,65.0
71.0,66.0,71.14,6.0,4686.0,68.5,5050.94,426.0,74.0
71.0,66.0,71.14,6.0,4686.0,68.5,5050.94,426.0,72.0
71.0,66.0,71.14,6.0,4686.0,68.5,5050.94,426.0,69.0
71.0,66.0,71.14,6.0,4686.0,68.5,5050.94,426.0,67.5
71.0,66.0,71.14,6.0,4686.0,68.5,5050.94,426.0,63.5
71.0,66.0,71.14,2.0,4686.0,68.5,5050.94,142.0,72.0
71.0,66.0,71.14,2.0,4686.0,68.5,5050.94,142.0,71.5
71.0,66.0,71.14,5.0,4686.0,68.5,5050.94,355.0,71.5
71.0,66.0,71.14,5.0,4686.0,68.5,5050.94,355.0,70.0
71.0,66.0,71.14,5.0,4686.0,68.5,5050.94,355.0,68.0
71.0,66.0,71.14,5.0,4686.0,68.5,5050.94,355.0,65.7
71.0,66.0,71.14,5.0,4686.0,68.5,5050.94,355.0,78.0
71.7,65.5,71.22,1.0,4696.35,68.6,5106.474,71.7,74.0
71.0,65.5,70.87,6.0,4650.5,68.25,5031.77,426.0,73.0
71.0,65.5,70.87,6.0,4650.5,68.25,5031.77,426.0,72.0
71.0,65.5,70.87,6.0,4650.5,68.25,5031.77,426.0,67.0
71.0,65.5,70.87,6.0,4650.5,68.25,5031.77,426.0,73.2
71.0,65.5,70.87,6.0,4650.5,68.25,5031.77,426.0,73.0
71.0,65.5,70.87,6.0,4650.5,68.25,5031.77,426.0,69.0
71.5,65.5,71.12,2.0,4683.25,68.5,5085.08,143.0,67.0
71.5,65.5,71.12,2.0,4683.25,68.5,5085.08,143.0,70.0
71.5,65.0,70.85,2.0,4647.5,68.25,5065.775,143.0,67.0
71.5,65.0,70.85,2.0,4647.5,68.25,5065.775,143.0,67.0
71.0,65.0,70.6,3.0,4615.0,68.0,5012.599999999999,213.0,66.5
71.0,65.0,70.6,3.0,4615.0,68.0,5012.599999999999,213.0,70.0
71.0,65.0,70.6,3.0,4615.0,68.0,5012.599999999999,213.0,69.0
71.0,64.0,70.06,8.0,4544.0,67.5,4974.26,568.0,68.5
71.0,64.0,70.06,8.0,4544.0,67.5,4974.26,568.0,66.0
71.0,64.0,70.06,8.0,4544.0,67.5,4974.26,568.0,64.5
